Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.18,1492
DatacenterBrokerSimple,1,0.18,1492
DatacenterBrokerSimple,2,0.16,1492
DatacenterBrokerSimple,3,0.16,1492
DatacenterBrokerSimple,4,0.16,1492
DatacenterBrokerSimple,5,0.16,1492
DatacenterBrokerPSO,0,0.32,398
DatacenterBrokerPSO,1,0.16,398
DatacenterBrokerPSO,2,0.04,398
DatacenterBrokerPSO,3,0.16,398
DatacenterBrokerPSO,4,0.26,398
DatacenterBrokerPSO,5,0.06,398
DatacenterBrokerHeuristic,0,0.26,1394
DatacenterBrokerHeuristic,1,0.2,1394
DatacenterBrokerHeuristic,2,0.12,1394
DatacenterBrokerHeuristic,3,0.12,1394
DatacenterBrokerHeuristic,4,0.12,1394
DatacenterBrokerHeuristic,5,0.18,1394
