Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.17,990
DatacenterBrokerSimple,1,0.17,990
DatacenterBrokerSimple,2,0.17,990
DatacenterBrokerSimple,3,0.17,990
DatacenterBrokerSimple,4,0.16,990
DatacenterBrokerSimple,5,0.16,990
DatacenterBrokerPSO,0,0.35,545
DatacenterBrokerPSO,1,0.19,545
DatacenterBrokerPSO,2,0.04,545
DatacenterBrokerPSO,3,0.15,545
DatacenterBrokerPSO,4,0.19,545
DatacenterBrokerPSO,5,0.08,545
DatacenterBrokerHeuristic,0,0.22,621
DatacenterBrokerHeuristic,1,0.15,621
DatacenterBrokerHeuristic,2,0.11,621
DatacenterBrokerHeuristic,3,0.22,621
DatacenterBrokerHeuristic,4,0.18,621
DatacenterBrokerHeuristic,5,0.12,621
