Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.11,1200
DatacenterBrokerSimple,1,0.11,1200
DatacenterBrokerSimple,2,0.11,1200
DatacenterBrokerSimple,3,0.11,1200
DatacenterBrokerSimple,4,0.11,1200
DatacenterBrokerSimple,5,0.11,1200
DatacenterBrokerSimple,6,0.11,1200
DatacenterBrokerSimple,7,0.11,1200
DatacenterBrokerSimple,8,0.11,1200
DatacenterBrokerPSO,0,0.23,579
DatacenterBrokerPSO,1,0.11,579
DatacenterBrokerPSO,2,0.03,579
DatacenterBrokerPSO,3,0.11,579
DatacenterBrokerPSO,4,0.09,579
DatacenterBrokerPSO,5,0.05,579
DatacenterBrokerPSO,6,0.05,579
DatacenterBrokerPSO,7,0.11,579
DatacenterBrokerPSO,8,0.24,579
DatacenterBrokerHeuristic,0,0.12,907
DatacenterBrokerHeuristic,1,0.11,907
DatacenterBrokerHeuristic,2,0.09,907
DatacenterBrokerHeuristic,3,0.14,907
DatacenterBrokerHeuristic,4,0.14,907
DatacenterBrokerHeuristic,5,0.1,907
DatacenterBrokerHeuristic,6,0.12,907
DatacenterBrokerHeuristic,7,0.1,907
DatacenterBrokerHeuristic,8,0.07,907
