Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,361
DatacenterBrokerSimple,1,0.12,361
DatacenterBrokerSimple,2,0.12,361
DatacenterBrokerSimple,3,0.12,361
DatacenterBrokerSimple,4,0.12,361
DatacenterBrokerSimple,5,0.12,361
DatacenterBrokerSimple,6,0.12,361
DatacenterBrokerSimple,7,0.08,361
DatacenterBrokerSimple,8,0.08,361
DatacenterBrokerPSO,0,0.16,172
DatacenterBrokerPSO,1,0.12,172
DatacenterBrokerPSO,2,0.04,172
DatacenterBrokerPSO,3,0.12,172
DatacenterBrokerPSO,4,0.12,172
DatacenterBrokerPSO,5,0.04,172
DatacenterBrokerPSO,6,0.08,172
DatacenterBrokerPSO,7,0.16,172
DatacenterBrokerPSO,8,0.16,172
DatacenterBrokerHeuristic,0,0.12,197
DatacenterBrokerHeuristic,1,0.16,197
DatacenterBrokerHeuristic,2,0.08,197
DatacenterBrokerHeuristic,3,0.2,197
DatacenterBrokerHeuristic,4,0.04,197
DatacenterBrokerHeuristic,5,0.08,197
DatacenterBrokerHeuristic,6,0.04,197
DatacenterBrokerHeuristic,7,0.12,197
DatacenterBrokerHeuristic,8,0.16,197
