Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.18,558
DatacenterBrokerSimple,1,0.18,558
DatacenterBrokerSimple,2,0.16,558
DatacenterBrokerSimple,3,0.16,558
DatacenterBrokerSimple,4,0.16,558
DatacenterBrokerSimple,5,0.16,558
DatacenterBrokerPSO,0,0.28,299
DatacenterBrokerPSO,1,0.22,299
DatacenterBrokerPSO,2,0.04,299
DatacenterBrokerPSO,3,0.2,299
DatacenterBrokerPSO,4,0.2,299
DatacenterBrokerPSO,5,0.06,299
DatacenterBrokerHeuristic,0,0.12,419
DatacenterBrokerHeuristic,1,0.18,419
DatacenterBrokerHeuristic,2,0.1,419
DatacenterBrokerHeuristic,3,0.26,419
DatacenterBrokerHeuristic,4,0.22,419
DatacenterBrokerHeuristic,5,0.12,419
