Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.2,868
DatacenterBrokerSimple,1,0.15,868
DatacenterBrokerSimple,2,0.22,868
DatacenterBrokerSimple,3,0.26,868
DatacenterBrokerSimple,4,0.09,868
DatacenterBrokerSimple,5,0.08,868
DatacenterBrokerPSO,0,0.47,620
DatacenterBrokerPSO,1,0.09,620
DatacenterBrokerPSO,2,0.26,620
DatacenterBrokerPSO,3,0.16,620
DatacenterBrokerPSO,4,0.02,620
DatacenterBrokerPSO,5,0,620
DatacenterBrokerHeuristic,0,0.18,973
DatacenterBrokerHeuristic,1,0.2,973
DatacenterBrokerHeuristic,2,0.22,973
DatacenterBrokerHeuristic,3,0.28,973
DatacenterBrokerHeuristic,4,0.05,973
DatacenterBrokerHeuristic,5,0.08,973
