Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,411
DatacenterBrokerSimple,1,0.12,411
DatacenterBrokerSimple,2,0.12,411
DatacenterBrokerSimple,3,0.12,411
DatacenterBrokerSimple,4,0.12,411
DatacenterBrokerSimple,5,0.1,411
DatacenterBrokerSimple,6,0.1,411
DatacenterBrokerSimple,7,0.1,411
DatacenterBrokerSimple,8,0.1,411
DatacenterBrokerPSO,0,0.16,178
DatacenterBrokerPSO,1,0.1,178
DatacenterBrokerPSO,2,0.02,178
DatacenterBrokerPSO,3,0.14,178
DatacenterBrokerPSO,4,0.14,178
DatacenterBrokerPSO,5,0.04,178
DatacenterBrokerPSO,6,0.04,178
DatacenterBrokerPSO,7,0.2,178
DatacenterBrokerPSO,8,0.16,178
DatacenterBrokerHeuristic,0,0.1,408
DatacenterBrokerHeuristic,1,0.14,408
DatacenterBrokerHeuristic,2,0.08,408
DatacenterBrokerHeuristic,3,0.12,408
DatacenterBrokerHeuristic,4,0.1,408
DatacenterBrokerHeuristic,5,0.16,408
DatacenterBrokerHeuristic,6,0.06,408
DatacenterBrokerHeuristic,7,0.14,408
DatacenterBrokerHeuristic,8,0.1,408
