Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time,CPU Utilization Start,CPU Utilization Finish
DatacenterBrokerSimple,7,7,17,0,17,1,1
DatacenterBrokerSimple,8,8,20,0,20,1,1
DatacenterBrokerSimple,16,7,21,0,21,1,1
DatacenterBrokerSimple,0,0,22,0,22,1,1
DatacenterBrokerSimple,44,8,23,0,23,1,1
DatacenterBrokerSimple,13,4,23,0,23,1,1
DatacenterBrokerSimple,4,4,24,0,24,1,1
DatacenterBrokerSimple,9,0,29,0,29,1,1
DatacenterBrokerSimple,10,1,29,0,29,1,1
DatacenterBrokerSimple,12,3,33,0,33,1,1
DatacenterBrokerSimple,3,3,33,0,33,1,1
DatacenterBrokerSimple,25,7,17,18,35,1,1
DatacenterBrokerSimple,1,1,37,0,37,1,1
DatacenterBrokerSimple,40,4,18,24,42,1,1
DatacenterBrokerSimple,17,8,22,21,43,1,1
DatacenterBrokerSimple,18,0,23,22,45,1,1
DatacenterBrokerSimple,31,4,23,23,46,1,1
DatacenterBrokerSimple,26,8,24,23,46,1,1
DatacenterBrokerSimple,45,0,24,29,53,1,1
DatacenterBrokerSimple,34,7,19,35,54,1,1
DatacenterBrokerSimple,15,6,56,0,56,1,1
DatacenterBrokerSimple,28,1,28,29,57,1,1
DatacenterBrokerSimple,6,6,58,0,58,1,1
DatacenterBrokerSimple,49,4,17,42,59,1,1
DatacenterBrokerSimple,21,3,26,33,59,1,1
DatacenterBrokerSimple,19,1,31,29,60,1,1
DatacenterBrokerSimple,46,1,27,38,64,1,1
DatacenterBrokerSimple,30,3,33,33,66,1,1
DatacenterBrokerSimple,36,0,22,45,67,1,1
DatacenterBrokerSimple,22,4,23,46,69,1,1
DatacenterBrokerSimple,35,8,24,46,70,1,1
DatacenterBrokerSimple,43,7,18,54,72,1,1
DatacenterBrokerSimple,39,3,29,59,88,1,1
DatacenterBrokerSimple,27,0,29,67,96,1,1
DatacenterBrokerSimple,37,1,36,60,96,1,1
DatacenterBrokerSimple,24,6,56,58,114,1,1
DatacenterBrokerSimple,48,3,26,88,114,1,1
DatacenterBrokerSimple,5,5,123,0,123,1,1
DatacenterBrokerSimple,32,5,128,0,128,1,1
DatacenterBrokerSimple,2,2,157,0,157,1,1
DatacenterBrokerSimple,33,6,45,114,159,1,1
DatacenterBrokerSimple,14,5,164,0,164,1,1
DatacenterBrokerSimple,23,5,177,0,177,1,1
DatacenterBrokerSimple,29,2,178,0,178,1,1
DatacenterBrokerSimple,41,5,180,0,180,1,1
DatacenterBrokerSimple,11,2,205,0,205,1,1
DatacenterBrokerSimple,42,6,58,160,218,1,1
DatacenterBrokerSimple,47,2,167,157,325,1,1
DatacenterBrokerSimple,38,2,217,157,375,1,1
DatacenterBrokerSimple,20,2,206,205,411,1,1
DatacenterBrokerPSO,0,8,18,0,18,1,1
DatacenterBrokerPSO,10,4,18,0,18,1,1
DatacenterBrokerPSO,47,8,19,0,19,1,1
DatacenterBrokerPSO,11,7,21,0,21,1,1
DatacenterBrokerPSO,6,7,22,0,22,1,1
DatacenterBrokerPSO,16,4,22,0,22,1,1
DatacenterBrokerPSO,7,0,23,0,23,1,1
DatacenterBrokerPSO,5,3,24,0,24,1,1
DatacenterBrokerPSO,23,8,25,0,25,1,1
