Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.07,1251
DatacenterBrokerSimple,1,0.07,1251
DatacenterBrokerSimple,2,0.07,1251
DatacenterBrokerSimple,3,0.07,1251
DatacenterBrokerSimple,4,0.07,1251
DatacenterBrokerSimple,5,0.07,1251
DatacenterBrokerSimple,6,0.07,1251
DatacenterBrokerSimple,7,0.07,1251
DatacenterBrokerSimple,8,0.07,1251
DatacenterBrokerSimple,9,0.07,1251
DatacenterBrokerSimple,10,0.06,1251
DatacenterBrokerSimple,11,0.06,1251
DatacenterBrokerSimple,12,0.06,1251
DatacenterBrokerSimple,13,0.06,1251
DatacenterBrokerSimple,14,0.06,1251
DatacenterBrokerPSO,0,0.19,465
DatacenterBrokerPSO,1,0.11,465
DatacenterBrokerPSO,2,0.02,465
DatacenterBrokerPSO,3,0.08,465
DatacenterBrokerPSO,4,0.05,465
DatacenterBrokerPSO,5,0.01,465
DatacenterBrokerPSO,6,0.02,465
DatacenterBrokerPSO,7,0.05,465
DatacenterBrokerPSO,8,0.05,465
DatacenterBrokerPSO,9,0.05,465
DatacenterBrokerPSO,10,0.05,465
DatacenterBrokerPSO,11,0.03,465
DatacenterBrokerPSO,12,0.06,465
DatacenterBrokerPSO,13,0.08,465
DatacenterBrokerPSO,14,0.15,465
DatacenterBrokerHeuristic,0,0.08,1020
DatacenterBrokerHeuristic,1,0.04,1020
DatacenterBrokerHeuristic,2,0.05,1020
DatacenterBrokerHeuristic,3,0.06,1020
DatacenterBrokerHeuristic,4,0.07,1020
DatacenterBrokerHeuristic,5,0.07,1020
DatacenterBrokerHeuristic,6,0.07,1020
DatacenterBrokerHeuristic,7,0.07,1020
DatacenterBrokerHeuristic,8,0.04,1020
DatacenterBrokerHeuristic,9,0.04,1020
DatacenterBrokerHeuristic,10,0.12,1020
DatacenterBrokerHeuristic,11,0.07,1020
DatacenterBrokerHeuristic,12,0.05,1020
DatacenterBrokerHeuristic,13,0.08,1020
DatacenterBrokerHeuristic,14,0.09,1020
