Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,1447
DatacenterBrokerSimple,1,0.12,1447
DatacenterBrokerSimple,2,0.11,1447
DatacenterBrokerSimple,3,0.11,1447
DatacenterBrokerSimple,4,0.11,1447
DatacenterBrokerSimple,5,0.11,1447
DatacenterBrokerSimple,6,0.11,1447
DatacenterBrokerSimple,7,0.11,1447
DatacenterBrokerSimple,8,0.11,1447
DatacenterBrokerPSO,0,0.25,754
DatacenterBrokerPSO,1,0.07,754
DatacenterBrokerPSO,2,0.04,754
DatacenterBrokerPSO,3,0.07,754
DatacenterBrokerPSO,4,0.08,754
DatacenterBrokerPSO,5,0.04,754
DatacenterBrokerPSO,6,0.07,754
DatacenterBrokerPSO,7,0.12,754
DatacenterBrokerPSO,8,0.26,754
DatacenterBrokerHeuristic,0,0.13,1315
DatacenterBrokerHeuristic,1,0.12,1315
DatacenterBrokerHeuristic,2,0.12,1315
DatacenterBrokerHeuristic,3,0.1,1315
DatacenterBrokerHeuristic,4,0.12,1315
DatacenterBrokerHeuristic,5,0.07,1315
DatacenterBrokerHeuristic,6,0.12,1315
DatacenterBrokerHeuristic,7,0.12,1315
DatacenterBrokerHeuristic,8,0.1,1315
