Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.08,344
DatacenterBrokerSimple,1,0.08,344
DatacenterBrokerSimple,2,0.08,344
DatacenterBrokerSimple,3,0.08,344
DatacenterBrokerSimple,4,0.08,344
DatacenterBrokerSimple,5,0.08,344
DatacenterBrokerSimple,6,0.08,344
DatacenterBrokerSimple,7,0.08,344
DatacenterBrokerSimple,8,0.08,344
DatacenterBrokerSimple,9,0.08,344
DatacenterBrokerSimple,10,0.04,344
DatacenterBrokerSimple,11,0.04,344
DatacenterBrokerSimple,12,0.04,344
DatacenterBrokerSimple,13,0.04,344
DatacenterBrokerSimple,14,0.04,344
DatacenterBrokerPSO,0,0.08,74
DatacenterBrokerPSO,1,0.08,74
DatacenterBrokerPSO,2,0,74
DatacenterBrokerPSO,3,0.08,74
DatacenterBrokerPSO,4,0.12,74
DatacenterBrokerPSO,5,0,74
DatacenterBrokerPSO,6,0,74
DatacenterBrokerPSO,7,0.12,74
DatacenterBrokerPSO,8,0.04,74
DatacenterBrokerPSO,9,0.04,74
DatacenterBrokerPSO,10,0.08,74
DatacenterBrokerPSO,11,0.08,74
DatacenterBrokerPSO,12,0.12,74
DatacenterBrokerPSO,13,0.12,74
DatacenterBrokerPSO,14,0.04,74
DatacenterBrokerHeuristic,0,0.04,612
DatacenterBrokerHeuristic,1,0,612
DatacenterBrokerHeuristic,2,0.08,612
DatacenterBrokerHeuristic,3,0.12,612
DatacenterBrokerHeuristic,4,0.04,612
DatacenterBrokerHeuristic,5,0.16,612
DatacenterBrokerHeuristic,6,0,612
DatacenterBrokerHeuristic,7,0.04,612
DatacenterBrokerHeuristic,8,0.08,612
DatacenterBrokerHeuristic,9,0.04,612
DatacenterBrokerHeuristic,10,0.12,612
DatacenterBrokerHeuristic,11,0.08,612
DatacenterBrokerHeuristic,12,0.08,612
DatacenterBrokerHeuristic,13,0.04,612
DatacenterBrokerHeuristic,14,0.08,612
