Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,2096
DatacenterBrokerSimple,1,0.11,2096
DatacenterBrokerSimple,2,0.11,2096
DatacenterBrokerSimple,3,0.11,2096
DatacenterBrokerSimple,4,0.11,2096
DatacenterBrokerSimple,5,0.11,2096
DatacenterBrokerSimple,6,0.11,2096
DatacenterBrokerSimple,7,0.11,2096
DatacenterBrokerSimple,8,0.11,2096
DatacenterBrokerPSO,0,0.26,634
DatacenterBrokerPSO,1,0.06,634
DatacenterBrokerPSO,2,0.02,634
DatacenterBrokerPSO,3,0.07,634
DatacenterBrokerPSO,4,0.12,634
DatacenterBrokerPSO,5,0.02,634
DatacenterBrokerPSO,6,0.06,634
DatacenterBrokerPSO,7,0.09,634
DatacenterBrokerPSO,8,0.3,634
DatacenterBrokerHeuristic,0,0.08,2593
DatacenterBrokerHeuristic,1,0.09,2593
DatacenterBrokerHeuristic,2,0.14,2593
DatacenterBrokerHeuristic,3,0.1,2593
DatacenterBrokerHeuristic,4,0.11,2593
DatacenterBrokerHeuristic,5,0.14,2593
DatacenterBrokerHeuristic,6,0.09,2593
DatacenterBrokerHeuristic,7,0.11,2593
DatacenterBrokerHeuristic,8,0.14,2593
