Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.2,380
DatacenterBrokerSimple,1,0.16,380
DatacenterBrokerSimple,2,0.16,380
DatacenterBrokerSimple,3,0.16,380
DatacenterBrokerSimple,4,0.16,380
DatacenterBrokerSimple,5,0.16,380
DatacenterBrokerPSO,0,0.2,209
DatacenterBrokerPSO,1,0.24,209
DatacenterBrokerPSO,2,0.04,209
DatacenterBrokerPSO,3,0.24,209
DatacenterBrokerPSO,4,0.24,209
DatacenterBrokerPSO,5,0.04,209
DatacenterBrokerHeuristic,0,0.12,316
DatacenterBrokerHeuristic,1,0.12,316
DatacenterBrokerHeuristic,2,0.08,316
DatacenterBrokerHeuristic,3,0.36,316
DatacenterBrokerHeuristic,4,0.08,316
DatacenterBrokerHeuristic,5,0.24,316
