Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,560
DatacenterBrokerSimple,1,0.12,560
DatacenterBrokerSimple,2,0.12,560
DatacenterBrokerSimple,3,0.12,560
DatacenterBrokerSimple,4,0.12,560
DatacenterBrokerSimple,5,0.12,560
DatacenterBrokerSimple,6,0.12,560
DatacenterBrokerSimple,7,0.08,560
DatacenterBrokerSimple,8,0.08,560
DatacenterBrokerPSO,0,0.2,148
DatacenterBrokerPSO,1,0.08,148
DatacenterBrokerPSO,2,0.04,148
DatacenterBrokerPSO,3,0.08,148
DatacenterBrokerPSO,4,0.12,148
DatacenterBrokerPSO,5,0.04,148
DatacenterBrokerPSO,6,0.08,148
DatacenterBrokerPSO,7,0.12,148
DatacenterBrokerPSO,8,0.24,148
DatacenterBrokerHeuristic,0,0.04,779
DatacenterBrokerHeuristic,1,0.12,779
DatacenterBrokerHeuristic,2,0.16,779
DatacenterBrokerHeuristic,3,0,779
DatacenterBrokerHeuristic,4,0.16,779
DatacenterBrokerHeuristic,5,0.12,779
DatacenterBrokerHeuristic,6,0.16,779
DatacenterBrokerHeuristic,7,0.08,779
DatacenterBrokerHeuristic,8,0.16,779
