Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,842
DatacenterBrokerSimple,1,0.05,842
DatacenterBrokerSimple,2,0.13,842
DatacenterBrokerSimple,3,0.14,842
DatacenterBrokerSimple,4,0.06,842
DatacenterBrokerSimple,5,0.01,842
DatacenterBrokerSimple,6,0.07,842
DatacenterBrokerSimple,7,0.09,842
DatacenterBrokerSimple,8,0.05,842
DatacenterBrokerSimple,9,0.03,842
DatacenterBrokerSimple,10,0.02,842
DatacenterBrokerSimple,11,0.09,842
DatacenterBrokerSimple,12,0.05,842
DatacenterBrokerSimple,13,0.04,842
DatacenterBrokerSimple,14,0.05,842
DatacenterBrokerPSO,0,0.6,1259
DatacenterBrokerPSO,1,0.06,1259
DatacenterBrokerPSO,2,0.04,1259
DatacenterBrokerPSO,3,0.03,1259
DatacenterBrokerPSO,4,0.02,1259
DatacenterBrokerPSO,5,0.01,1259
DatacenterBrokerPSO,6,0,1259
DatacenterBrokerPSO,7,0.02,1259
DatacenterBrokerPSO,8,0.01,1259
DatacenterBrokerPSO,9,0.01,1259
DatacenterBrokerPSO,10,0,1259
DatacenterBrokerPSO,11,0.02,1259
DatacenterBrokerPSO,12,0.03,1259
DatacenterBrokerPSO,13,0.02,1259
DatacenterBrokerPSO,14,0.15,1259
DatacenterBrokerHeuristic,0,0.1,782
DatacenterBrokerHeuristic,1,0.08,782
DatacenterBrokerHeuristic,2,0.15,782
DatacenterBrokerHeuristic,3,0.14,782
DatacenterBrokerHeuristic,4,0.07,782
DatacenterBrokerHeuristic,5,0.03,782
DatacenterBrokerHeuristic,6,0.04,782
DatacenterBrokerHeuristic,7,0.05,782
DatacenterBrokerHeuristic,8,0,782
DatacenterBrokerHeuristic,9,0.04,782
DatacenterBrokerHeuristic,10,0.02,782
DatacenterBrokerHeuristic,11,0.1,782
DatacenterBrokerHeuristic,12,0.08,782
DatacenterBrokerHeuristic,13,0.02,782
DatacenterBrokerHeuristic,14,0.08,782
