Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time,CPU Utilization Start,CPU Utilization Finish
DatacenterBrokerSimple,0,0,21,0,22,1,1
DatacenterBrokerSimple,75,0,25,0,25,1,1
DatacenterBrokerSimple,3,0,28,0,28,1,1
DatacenterBrokerSimple,13,1,36,0,36,1,1
DatacenterBrokerSimple,1,1,37,0,37,1,1
DatacenterBrokerSimple,4,1,38,0,38,1,1
DatacenterBrokerSimple,81,0,23,25,48,1,1
DatacenterBrokerSimple,6,0,29,22,51,1,1
DatacenterBrokerSimple,9,0,29,28,57,1,1
DatacenterBrokerSimple,49,1,27,37,63,1,1
DatacenterBrokerSimple,7,1,29,38,67,1,1
DatacenterBrokerSimple,19,1,31,38,69,1,1
DatacenterBrokerSimple,16,1,36,37,72,1,1
DatacenterBrokerSimple,73,1,36,37,72,1,1
DatacenterBrokerSimple,45,0,24,51,74,1,1
DatacenterBrokerSimple,15,0,28,51,79,1,1
DatacenterBrokerSimple,51,0,22,57,79,1,1
DatacenterBrokerSimple,76,1,28,63,91,1,1
DatacenterBrokerSimple,28,1,28,67,94,1,1
DatacenterBrokerSimple,82,1,28,67,95,1,1
DatacenterBrokerSimple,52,1,27,72,99,1,1
DatacenterBrokerSimple,69,0,27,74,101,1,1
DatacenterBrokerSimple,18,0,23,79,102,1,1
DatacenterBrokerSimple,88,1,35,69,103,1,1
DatacenterBrokerSimple,31,1,36,69,105,1,1
DatacenterBrokerSimple,40,1,29,95,124,1,1
DatacenterBrokerSimple,21,0,22,102,124,1,1
DatacenterBrokerSimple,93,0,24,101,126,1,1
DatacenterBrokerSimple,70,1,26,103,129,1,1
DatacenterBrokerSimple,55,1,38,99,137,1,1
DatacenterBrokerSimple,64,1,36,105,141,1,1
DatacenterBrokerSimple,48,0,22,126,148,1,1
DatacenterBrokerSimple,5,2,148,0,148,1,1
DatacenterBrokerSimple,46,1,27,124,151,1,1
DatacenterBrokerSimple,30,0,28,124,152,1,1
DatacenterBrokerSimple,2,2,156,0,156,1,1
DatacenterBrokerSimple,58,1,27,137,164,1,1
DatacenterBrokerSimple,79,1,26,141,167,1,1
DatacenterBrokerSimple,66,0,20,152,172,1,1
DatacenterBrokerSimple,57,0,28,148,176,1,1
DatacenterBrokerSimple,8,2,176,0,177,1,1
DatacenterBrokerSimple,61,1,31,151,181,1,1
DatacenterBrokerSimple,85,1,26,167,192,1,1
DatacenterBrokerSimple,67,1,29,164,193,1,1
DatacenterBrokerSimple,78,0,23,172,196,1,1
DatacenterBrokerSimple,96,0,29,176,205,1,1
DatacenterBrokerSimple,91,1,37,181,218,1,1
DatacenterBrokerSimple,10,1,29,193,222,1,1
DatacenterBrokerSimple,12,0,28,205,232,1,1
DatacenterBrokerSimple,25,1,28,222,251,1,1
DatacenterBrokerSimple,22,1,37,219,255,1,1
DatacenterBrokerSimple,24,0,28,232,260,1,1
DatacenterBrokerSimple,34,1,32,251,283,1,1
DatacenterBrokerSimple,94,1,32,255,288,1,1
DatacenterBrokerSimple,27,0,29,261,289,1,1
DatacenterBrokerSimple,33,0,22,289,312,1,1
DatacenterBrokerSimple,97,1,29,288,317,1,1
DatacenterBrokerSimple,37,1,36,283,319,1,1
DatacenterBrokerSimple,36,0,22,312,334,1,1
DatacenterBrokerSimple,17,2,191,149,339,1,1
DatacenterBrokerSimple,43,1,30,319,350,1,1
DatacenterBrokerSimple,11,2,202,156,359,1,1
DatacenterBrokerSimple,39,0,24,334,359,1,1
DatacenterBrokerSimple,23,2,213,156,370,1,1
DatacenterBrokerSimple,14,2,198,177,374,1,1
DatacenterBrokerSimple,42,0,29,359,388,1,1
DatacenterBrokerSimple,38,2,217,177,394,1,1
DatacenterBrokerSimple,54,0,23,388,411,1,1
DatacenterBrokerSimple,60,0,20,411,432,1,1
DatacenterBrokerSimple,63,0,25,432,456,1,1
DatacenterBrokerSimple,72,0,30,456,486,1,1
DatacenterBrokerSimple,84,0,26,486,512,1,1
DatacenterBrokerSimple,44,2,195,340,535,1,1
DatacenterBrokerSimple,87,0,23,512,536,1,1
DatacenterBrokerSimple,47,2,166,370,536,1,1
DatacenterBrokerSimple,29,2,176,374,550,1,1
DatacenterBrokerSimple,80,2,159,394,553,1,1
DatacenterBrokerSimple,41,2,218,340,557,1,1
DatacenterBrokerSimple,56,2,169,394,563,1,1
DatacenterBrokerSimple,26,2,205,359,563,1,1
DatacenterBrokerSimple,90,0,28,536,564,1,1
DatacenterBrokerSimple,99,0,24,564,588,1,1
DatacenterBrokerSimple,32,2,153,564,717,1,1
DatacenterBrokerSimple,62,2,198,536,734,1,1
DatacenterBrokerSimple,53,2,194,550,744,1,1
DatacenterBrokerSimple,86,2,203,557,761,1,1
DatacenterBrokerSimple,35,2,206,717,923,1,1
DatacenterBrokerSimple,68,2,182,761,943,1,1
DatacenterBrokerSimple,50,2,208,744,952,1,1
DatacenterBrokerSimple,59,2,169,923,1093,1,1
DatacenterBrokerSimple,71,2,180,943,1124,1,1
DatacenterBrokerSimple,83,2,205,952,1157,1,1
DatacenterBrokerSimple,65,2,184,1093,1277,1,1
DatacenterBrokerSimple,89,2,166,1124,1290,1,1
DatacenterBrokerSimple,95,2,148,1157,1305,1,1
DatacenterBrokerSimple,98,2,165,1290,1455,1,1
DatacenterBrokerSimple,20,2,205,1277,1482,1,1
DatacenterBrokerSimple,77,2,178,1482,1661,1,1
DatacenterBrokerSimple,74,2,213,1455,1669,1,1
DatacenterBrokerSimple,92,2,208,1661,1869,1,1
DatacenterBrokerPSO,5,0,20,0,20,1,1
DatacenterBrokerPSO,2,0,22,0,22,1,1
DatacenterBrokerPSO,0,1,27,0,28,1,1
DatacenterBrokerPSO,3,1,36,0,36,1,1
DatacenterBrokerPSO,16,1,36,0,36,1,1
DatacenterBrokerPSO,4,1,38,0,38,1,1
DatacenterBrokerPSO,49,0,21,22,43,1,1
DatacenterBrokerPSO,9,0,29,21,50,1,1
DatacenterBrokerPSO,6,0,29,22,51,1,1
DatacenterBrokerPSO,15,1,36,28,63,1,1
DatacenterBrokerPSO,82,0,22,43,65,1,1
DatacenterBrokerPSO,23,1,37,28,65,1,1
DatacenterBrokerPSO,19,1,31,38,69,1,1
DatacenterBrokerPSO,17,1,34,36,69,1,1
DatacenterBrokerPSO,45,0,24,50,73,1,1
DatacenterBrokerPSO,7,0,23,51,74,1,1
DatacenterBrokerPSO,41,1,38,36,74,1,1
DatacenterBrokerPSO,21,1,29,64,92,1,1
DatacenterBrokerPSO,56,1,30,65,95,1,1
DatacenterBrokerPSO,11,0,28,74,101,1,1
DatacenterBrokerPSO,13,0,29,73,102,1,1
DatacenterBrokerPSO,26,1,36,69,105,1,1
DatacenterBrokerPSO,38,1,38,69,107,1,1
DatacenterBrokerPSO,73,1,36,74,110,1,1
DatacenterBrokerPSO,29,1,31,92,123,1,1
DatacenterBrokerPSO,28,0,22,102,124,1,1
DatacenterBrokerPSO,75,1,31,95,126,1,1
DatacenterBrokerPSO,14,0,27,102,129,1,1
DatacenterBrokerPSO,76,1,28,105,133,1,1
DatacenterBrokerPSO,80,1,28,108,136,1,1
DatacenterBrokerPSO,81,1,29,108,137,1,1
DatacenterBrokerPSO,31,1,36,105,141,1,1
DatacenterBrokerPSO,88,1,35,110,145,1,1
DatacenterBrokerPSO,30,0,28,124,152,1,1
DatacenterBrokerPSO,40,0,23,129,152,1,1
DatacenterBrokerPSO,64,1,36,123,159,1,1
DatacenterBrokerPSO,47,2,167,0,167,1,1
DatacenterBrokerPSO,86,1,36,133,169,1,1
DatacenterBrokerPSO,51,0,22,152,173,1,1
DatacenterBrokerPSO,8,0,24,152,176,1,1
DatacenterBrokerPSO,22,1,37,141,178,1,1
DatacenterBrokerPSO,44,2,195,0,195,1,1
DatacenterBrokerPSO,50,1,37,159,196,1,1
DatacenterBrokerPSO,18,0,23,176,199,1,1
DatacenterBrokerPSO,55,0,29,173,203,1,1
DatacenterBrokerPSO,24,2,204,0,204,1,1
