Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time,CPU Utilization Start,CPU Utilization Finish
DatacenterBrokerSimple,7,7,17,0,17,1,1
DatacenterBrokerSimple,10,10,18,0,18,1,1
DatacenterBrokerSimple,8,8,20,0,20,1,1
DatacenterBrokerSimple,12,12,21,0,21,1,1
DatacenterBrokerSimple,0,0,22,0,22,1,1
DatacenterBrokerSimple,24,9,22,0,22,1,1
DatacenterBrokerSimple,9,9,23,0,23,1,1
DatacenterBrokerSimple,4,4,24,0,24,1,1
DatacenterBrokerSimple,23,8,25,0,25,1,1
DatacenterBrokerSimple,18,3,27,0,27,1,1
DatacenterBrokerSimple,13,13,28,0,28,1,1
DatacenterBrokerSimple,15,0,28,0,28,1,1
DatacenterBrokerSimple,14,14,33,0,33,1,1
DatacenterBrokerSimple,3,3,33,0,33,1,1
DatacenterBrokerSimple,16,1,36,0,36,1,1
DatacenterBrokerSimple,1,1,37,0,37,1,1
DatacenterBrokerSimple,11,11,38,0,38,1,1
DatacenterBrokerSimple,22,7,22,18,40,1,1
DatacenterBrokerSimple,19,4,19,24,43,1,1
DatacenterBrokerSimple,21,6,45,0,45,1,1
DatacenterBrokerSimple,6,6,58,0,58,1,1
DatacenterBrokerSimple,5,5,122,0,122,1,1
DatacenterBrokerSimple,2,2,155,0,156,1,1
DatacenterBrokerSimple,20,5,170,0,170,1,1
DatacenterBrokerSimple,17,2,191,0,191,1,1
DatacenterBrokerPSO,2,7,16,0,17,1,1
DatacenterBrokerPSO,18,12,18,0,18,1,1
DatacenterBrokerPSO,3,12,22,0,22,1,1
DatacenterBrokerPSO,21,13,22,0,22,1,1
DatacenterBrokerPSO,16,9,22,0,22,1,1
DatacenterBrokerPSO,17,8,22,0,22,1,1
DatacenterBrokerPSO,13,9,22,0,23,1,1
DatacenterBrokerPSO,23,10,23,0,23,1,1
DatacenterBrokerPSO,6,4,23,0,23,1,1
DatacenterBrokerPSO,5,1,26,0,26,1,1
DatacenterBrokerPSO,11,13,27,0,27,1,1
DatacenterBrokerPSO,22,0,29,0,29,1,1
DatacenterBrokerPSO,9,0,29,0,29,1,1
DatacenterBrokerPSO,8,14,29,0,29,1,1
DatacenterBrokerPSO,14,3,32,0,32,1,1
DatacenterBrokerPSO,1,3,35,0,35,1,1
DatacenterBrokerPSO,20,1,36,0,36,1,1
DatacenterBrokerPSO,12,7,21,17,38,1,1
DatacenterBrokerPSO,4,11,41,0,41,1,1
DatacenterBrokerPSO,7,6,46,0,46,1,1
DatacenterBrokerPSO,10,0,23,29,52,1,1
DatacenterBrokerPSO,15,14,34,30,64,1,1
DatacenterBrokerPSO,24,11,38,41,79,1,1
DatacenterBrokerPSO,19,5,144,0,144,1,1
DatacenterBrokerPSO,0,2,156,0,156,1,1
DatacenterBrokerHeuristic,5,4,16,0,16,1,1
DatacenterBrokerHeuristic,21,7,17,0,17,1,1
DatacenterBrokerHeuristic,7,12,18,0,18,1,1
DatacenterBrokerHeuristic,19,8,20,0,20,1,1
DatacenterBrokerHeuristic,14,12,21,0,21,1,1
DatacenterBrokerHeuristic,3,9,22,0,22,1,1
DatacenterBrokerHeuristic,13,12,22,0,22,1,1
DatacenterBrokerHeuristic,18,13,22,0,22,1,1
DatacenterBrokerHeuristic,4,7,23,0,23,1,1
DatacenterBrokerHeuristic,2,3,25,0,25,1,1
DatacenterBrokerHeuristic,17,13,25,0,26,1,1
DatacenterBrokerHeuristic,0,1,27,0,28,1,1
DatacenterBrokerHeuristic,1,0,29,0,29,1,1
DatacenterBrokerHeuristic,15,14,34,0,34,1,1
DatacenterBrokerHeuristic,23,1,37,0,37,1,1
DatacenterBrokerHeuristic,6,11,40,0,40,1,1
DatacenterBrokerHeuristic,10,7,18,23,40,1,1
DatacenterBrokerHeuristic,20,12,22,21,43,1,1
DatacenterBrokerHeuristic,24,13,27,22,49,1,1
DatacenterBrokerHeuristic,8,0,24,30,54,1,1
DatacenterBrokerHeuristic,11,6,56,0,56,1,1
DatacenterBrokerHeuristic,12,7,21,41,62,1,1
DatacenterBrokerHeuristic,16,5,166,0,166,1,1
DatacenterBrokerHeuristic,9,5,172,0,172,1,1
DatacenterBrokerHeuristic,22,2,209,0,209,1,1
