Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.08,664
DatacenterBrokerSimple,1,0.08,664
DatacenterBrokerSimple,2,0.08,664
DatacenterBrokerSimple,3,0.08,664
DatacenterBrokerSimple,4,0.08,664
DatacenterBrokerSimple,5,0.06,664
DatacenterBrokerSimple,6,0.06,664
DatacenterBrokerSimple,7,0.06,664
DatacenterBrokerSimple,8,0.06,664
DatacenterBrokerSimple,9,0.06,664
DatacenterBrokerSimple,10,0.06,664
DatacenterBrokerSimple,11,0.06,664
DatacenterBrokerSimple,12,0.06,664
DatacenterBrokerSimple,13,0.06,664
DatacenterBrokerSimple,14,0.06,664
DatacenterBrokerPSO,0,0.12,169
DatacenterBrokerPSO,1,0.08,169
DatacenterBrokerPSO,2,0.02,169
DatacenterBrokerPSO,3,0.1,169
DatacenterBrokerPSO,4,0.1,169
DatacenterBrokerPSO,5,0.02,169
DatacenterBrokerPSO,6,0.04,169
DatacenterBrokerPSO,7,0.06,169
DatacenterBrokerPSO,8,0.06,169
DatacenterBrokerPSO,9,0.06,169
DatacenterBrokerPSO,10,0.06,169
DatacenterBrokerPSO,11,0.04,169
DatacenterBrokerPSO,12,0.08,169
DatacenterBrokerPSO,13,0.06,169
DatacenterBrokerPSO,14,0.1,169
DatacenterBrokerHeuristic,0,0.12,559
DatacenterBrokerHeuristic,1,0.02,559
DatacenterBrokerHeuristic,2,0.04,559
DatacenterBrokerHeuristic,3,0.08,559
DatacenterBrokerHeuristic,4,0.08,559
DatacenterBrokerHeuristic,5,0.08,559
DatacenterBrokerHeuristic,6,0.04,559
DatacenterBrokerHeuristic,7,0.06,559
DatacenterBrokerHeuristic,8,0.02,559
DatacenterBrokerHeuristic,9,0.12,559
DatacenterBrokerHeuristic,10,0.02,559
DatacenterBrokerHeuristic,11,0.1,559
DatacenterBrokerHeuristic,12,0.04,559
DatacenterBrokerHeuristic,13,0.06,559
DatacenterBrokerHeuristic,14,0.12,559
