Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.17,797
DatacenterBrokerSimple,1,0.07,797
DatacenterBrokerSimple,2,0.16,797
DatacenterBrokerSimple,3,0.2,797
DatacenterBrokerSimple,4,0.08,797
DatacenterBrokerSimple,5,0.05,797
DatacenterBrokerSimple,6,0.08,797
DatacenterBrokerSimple,7,0.15,797
DatacenterBrokerSimple,8,0.05,797
DatacenterBrokerPSO,0,0.6,842
DatacenterBrokerPSO,1,0.03,842
DatacenterBrokerPSO,2,0.09,842
DatacenterBrokerPSO,3,0.05,842
DatacenterBrokerPSO,4,0.01,842
DatacenterBrokerPSO,5,0,842
DatacenterBrokerPSO,6,0.06,842
DatacenterBrokerPSO,7,0.04,842
DatacenterBrokerPSO,8,0.1,842
DatacenterBrokerHeuristic,0,0.22,887
DatacenterBrokerHeuristic,1,0.06,887
DatacenterBrokerHeuristic,2,0.23,887
DatacenterBrokerHeuristic,3,0.18,887
DatacenterBrokerHeuristic,4,0.07,887
DatacenterBrokerHeuristic,5,0,887
DatacenterBrokerHeuristic,6,0.05,887
DatacenterBrokerHeuristic,7,0.17,887
DatacenterBrokerHeuristic,8,0.03,887
