Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.07,726
DatacenterBrokerSimple,1,0.07,726
DatacenterBrokerSimple,2,0.07,726
DatacenterBrokerSimple,3,0.07,726
DatacenterBrokerSimple,4,0.07,726
DatacenterBrokerSimple,5,0.07,726
DatacenterBrokerSimple,6,0.07,726
DatacenterBrokerSimple,7,0.07,726
DatacenterBrokerSimple,8,0.07,726
DatacenterBrokerSimple,9,0.07,726
DatacenterBrokerSimple,10,0.07,726
DatacenterBrokerSimple,11,0.07,726
DatacenterBrokerSimple,12,0.07,726
DatacenterBrokerSimple,13,0.07,726
DatacenterBrokerSimple,14,0.07,726
DatacenterBrokerPSO,0,0.15,383
DatacenterBrokerPSO,1,0.09,383
DatacenterBrokerPSO,2,0.04,383
DatacenterBrokerPSO,3,0.05,383
DatacenterBrokerPSO,4,0.04,383
DatacenterBrokerPSO,5,0.03,383
DatacenterBrokerPSO,6,0.03,383
DatacenterBrokerPSO,7,0.05,383
DatacenterBrokerPSO,8,0.07,383
DatacenterBrokerPSO,9,0.07,383
DatacenterBrokerPSO,10,0.05,383
DatacenterBrokerPSO,11,0.05,383
DatacenterBrokerPSO,12,0.07,383
DatacenterBrokerPSO,13,0.09,383
DatacenterBrokerPSO,14,0.13,383
DatacenterBrokerHeuristic,0,0.05,569
DatacenterBrokerHeuristic,1,0.05,569
DatacenterBrokerHeuristic,2,0.07,569
DatacenterBrokerHeuristic,3,0.09,569
DatacenterBrokerHeuristic,4,0.06,569
DatacenterBrokerHeuristic,5,0.07,569
DatacenterBrokerHeuristic,6,0.06,569
DatacenterBrokerHeuristic,7,0.06,569
DatacenterBrokerHeuristic,8,0.05,569
DatacenterBrokerHeuristic,9,0.06,569
DatacenterBrokerHeuristic,10,0.07,569
DatacenterBrokerHeuristic,11,0.1,569
DatacenterBrokerHeuristic,12,0.05,569
DatacenterBrokerHeuristic,13,0.06,569
DatacenterBrokerHeuristic,14,0.1,569
