Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.2,730
DatacenterBrokerSimple,1,0.16,730
DatacenterBrokerSimple,2,0.16,730
DatacenterBrokerSimple,3,0.16,730
DatacenterBrokerSimple,4,0.16,730
DatacenterBrokerSimple,5,0.16,730
DatacenterBrokerPSO,0,0.24,167
DatacenterBrokerPSO,1,0.2,167
DatacenterBrokerPSO,2,0.04,167
DatacenterBrokerPSO,3,0.2,167
DatacenterBrokerPSO,4,0.28,167
DatacenterBrokerPSO,5,0.04,167
DatacenterBrokerHeuristic,0,0.2,878
DatacenterBrokerHeuristic,1,0.2,878
DatacenterBrokerHeuristic,2,0.2,878
DatacenterBrokerHeuristic,3,0.16,878
DatacenterBrokerHeuristic,4,0.16,878
DatacenterBrokerHeuristic,5,0.08,878
