Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.12,808
DatacenterBrokerSimple,1,0.11,808
DatacenterBrokerSimple,2,0.11,808
DatacenterBrokerSimple,3,0.11,808
DatacenterBrokerSimple,4,0.11,808
DatacenterBrokerSimple,5,0.11,808
DatacenterBrokerSimple,6,0.11,808
DatacenterBrokerSimple,7,0.11,808
DatacenterBrokerSimple,8,0.11,808
DatacenterBrokerPSO,0,0.21,314
DatacenterBrokerPSO,1,0.1,314
DatacenterBrokerPSO,2,0.04,314
DatacenterBrokerPSO,3,0.09,314
DatacenterBrokerPSO,4,0.09,314
DatacenterBrokerPSO,5,0.03,314
DatacenterBrokerPSO,6,0.06,314
DatacenterBrokerPSO,7,0.17,314
DatacenterBrokerPSO,8,0.21,314
DatacenterBrokerHeuristic,0,0.14,533
DatacenterBrokerHeuristic,1,0.08,533
DatacenterBrokerHeuristic,2,0.08,533
DatacenterBrokerHeuristic,3,0.17,533
DatacenterBrokerHeuristic,4,0.14,533
DatacenterBrokerHeuristic,5,0.07,533
DatacenterBrokerHeuristic,6,0.11,533
DatacenterBrokerHeuristic,7,0.12,533
DatacenterBrokerHeuristic,8,0.09,533
